zone,SOMPAPT2,MHI10K2,Single2,DivSep2,Degree2,AG652
Ang Mo Kio,48.81,30.51,32.95,4.52,31.34,16.26
Bedok,56.75,39.48,32.09,3.9,36.14,14.55
Bishan,66.87,51.08,33.03,3.28,44.64,13.44
Bukit Batok,56.08,38.41,34.22,3.5,35.08,9.92
Bukit Merah,49.64,30.98,32.45,5.28,31.63,18.38
Bukit Panjang,52.43,40.78,30.77,2.42,32.68,8.8
Bukit Timah,86.68,69.46,28.26,1.86,67.87,13.97
Choa Chu Kang,53.09,41.58,33.22,2.81,31.97,7.65
Clementi,62.75,38.54,29.71,3.58,37.63,16.18
Geylang,50.98,31.73,32.25,5.63,32.31,15.16
Hougang,51.82,36.7,33.97,3.41,31,12.08
Jurong East,49.67,35.29,31.73,3.54,29.81,12.49
Jurong West,48.14,35.42,30.46,3.15,30.42,8.48
Kallang/Whampoa,54.33,34.52,32.9,4.83,36.4,17.14
Marine Parade,71.63,44.08,32.31,4.74,46.97,16.75
Novena,65.13,52.23,32.8,3.23,50,15.29
Pasir Ris,57.95,48.28,33.67,3.1,33.63,8.01
Punggol,63.25,48.49,18.34,4.22,43.74,6.19
Queenstown,58.74,31.55,33.5,5.01,37.43,18.1
Sembawang,54.33,44.16,28.51,3.24,35.05,7.23
Sengkang,56.8,42.72,24.92,3.15,37.29,7.16
Serangoon,62.76,46.67,35.47,3.2,39.86,14.17
Tampines,51.51,40.18,33.97,3.54,31.09,10.08
Toa Payoh,53.7,30.39,34.38,4.82,33.06,17.7
Woodlands,44.73,31.11,31.6,3.81,27.25,7.16
Yishun,45.1,29.09,30.64,4.82,27.53,9.6
